evidence_granularity,run_id,run_start_utc,run_end_utc,timezone,system,commit,source,query_or_partition,time_frame,date_created_window_utc,page_or_offset,requested_limit,requests,rows_returned,unique_provider_job_ids,within_page_duplicates,cross_page_duplicates,cross_query_duplicates,previously_seen_jobs,net_new_jobs_admitted,stop_reason,provider_reported_total,provider_quota_after_request,evidence_source,notes
page,core canary 2026-09-16 (run_id not in export),2026-09-16 (before export at 08:37:35Z),not_recorded,UTC,tgtc_core canary,pre-be3af32 canary build (legacy_v1 profile),/v1/active-jb,partition 1 lane=fresh profile=legacy_v1 (no industry/agency filters),7d,2026-09-16T01:00:00Z -> 2026-09-16T02:00:00Z,offset=0,50,1,0,0,not_recorded,n/a (first page),not_recorded,not_recorded,0,HTTP 400 (request failed),not_recorded,not_recorded,TGTC read-only cohort export 2026-09-16T08:37Z acquisition_requests[] + partitions[],include_basic_organization_details was sent to /v1/active-jb; that parameter is ATS-only in our code today
page,core canary 2026-09-16 (run_id not in export),2026-09-16 (before export at 08:37:35Z),not_recorded,UTC,tgtc_core canary,pre-be3af32 canary build (legacy_v1 profile),/v1/active-jb,partition 6 lane=fresh profile=legacy_v1 (no industry/agency filters),7d,2026-09-16T03:00:00Z -> 2026-09-16T04:00:00Z,offset=0,50,1,50,50,0,n/a (first page),not_recorded,0,50,page slot used; partition left open,not_recorded,jobs_limit=100000; jobs_remaining=71748; requests_limit=50000; next_billing_date=2026-10-01T23:39:15.948851Z; requests_remaining=49507,TGTC read-only cohort export 2026-09-16T08:37Z acquisition_requests[] + partitions[],pii_fields_dropped=250 (recruiter/hiring-manager fields stripped on receipt)
page,20260917T081711Z,2026-09-17T08:17:11Z,2026-09-17T08:19:19Z,UTC,tgtc_core canary,5b1890b,fantastic:active-jb,partition 36 lane=backfill profile=priority_v1,7d (all core requests; see request shapes),not_recorded,1 page this slot (offset not printed in report),100,1,100,100,0,duplicate_pages=0,not_recorded,0,100,page_budget (one page per slot by design),not_recorded,jobs_this_request=100; jobs_remaining=68726; jobs_limit=100000; requests_remaining=49476; requests_limit=50000,"TGTC saved Railway log export 2026-09-17 (Railway log export, 2026-09-17 08:19:21Z cycle report)","Only the last 2 of this run's slot reports survive; the export was capped at 1,000 lines"
page,20260917T081711Z,2026-09-17T08:17:11Z,2026-09-17T08:19:19Z,UTC,tgtc_core canary,5b1890b,fantastic:active-ats,partition 111 lane=fresh profile=priority_v1,7d (all core requests; see request shapes),not_recorded,1 page this slot (offset not printed in report),100,1,100,100,0,duplicate_pages=0,not_recorded,0,100,page_budget (one page per slot by design),not_recorded,jobs_this_request=100; jobs_remaining=68726; jobs_limit=100000; requests_remaining=49476; requests_limit=50000,"TGTC saved Railway log export 2026-09-17 (Railway log export, 2026-09-17 08:19:21Z cycle report)","Only the last 2 of this run's slot reports survive; the export was capped at 1,000 lines"
run (partial),20260917T081711Z,2026-09-17T08:17:11Z,not_recorded,UTC,tgtc_core canary,5b1890b,both,remaining page slots,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,TGTC saved Railway log export 2026-09-17,"Other slot reports of this run fell outside the 1,000-line log export; not reconstructed"
profile cumulative (all core runs 2026-09-16 -> 2026-09-17T09:00Z),core runs through 20260917T082822Z,2026-09-16,2026-09-17T09:00:09Z,UTC,tgtc_core canary,canary builds up to 5b1890b,/v1/active-jb + /v1/active-ats,profile=priority_v1; partitions=44; completed_windows=4,7d,oldest incomplete window starts 2026-09-10T13:00:00+00:00,not_recorded,100 (50 on the first 09-16 pages),24,2170,2170,not_recorded,not_recorded,0,0,2170,not_recorded,not_recorded,not_recorded,TGTC saved Railway log export 2026-09-17 ledger printed at 2026-09-17T09:00:09Z (acquisition_profiles),
profile cumulative (all core runs 2026-09-16 -> 2026-09-17T09:00Z),core runs through 20260917T082822Z,2026-09-16,2026-09-17T09:00:09Z,UTC,tgtc_core canary,canary builds up to 5b1890b,/v1/active-jb + /v1/active-ats,profile=discovery_v1; partitions=44; completed_windows=0,7d,oldest incomplete window starts 2026-09-10T13:00:00+00:00,not_recorded,100 (50 on the first 09-16 pages),6,600,328,not_recorded,not_recorded,272,272,328,not_recorded,not_recorded,not_recorded,TGTC saved Railway log export 2026-09-17 ledger printed at 2026-09-17T09:00:09Z (acquisition_profiles),"discovery_v1 is a superset query of priority_v1, so it re-buys rows priority already bought"
profile cumulative (all core runs 2026-09-16 -> 2026-09-17T09:00Z),core runs through 20260917T082822Z,2026-09-16,2026-09-17T09:00:09Z,UTC,tgtc_core canary,canary builds up to 5b1890b,/v1/active-jb + /v1/active-ats,profile=legacy_v1; partitions=34; completed_windows=0,7d,oldest incomplete window starts 2026-09-12T01:00:00+00:00,not_recorded,100 (50 on the first 09-16 pages),12,1050,1050,not_recorded,not_recorded,0,0,1050,not_recorded,not_recorded,not_recorded,TGTC saved Railway log export 2026-09-17 ledger printed at 2026-09-17T09:00:09Z (acquisition_profiles),12 requests incl. 1 failed HTTP 400
all profiles cumulative,core runs through 20260917T082822Z,2026-09-16,2026-09-17T09:00:09Z,UTC,tgtc_core canary,not_recorded,/v1/active-jb + /v1/active-ats,all,7d,not_recorded,not_recorded,not_recorded,42,3820,3548,not_recorded,duplicate_pages=0,cross_source_duplicates=4,272,3548,not_recorded,not_recorded,rows confirmed by x-api-jobs-this-request header=3820,TGTC saved Railway log export 2026-09-17 ledger 2026-09-17T09:00:09Z,page_receipts=41 of 42 requests (1 failed); same totals re-printed unchanged at 2026-09-18T06:40Z
page slot,20260918T060210Z,2026-09-18T06:02:10Z,2026-09-18T06:02:14Z,UTC,tgtc_core,8a67deb,not_recorded,partition 144 profile=priority_v1,7d,not_recorded,not_recorded,not_recorded,0,0,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,"spend_budget_exhausted:fantastic:inactive (TGTC budget record, no request sent)",not_recorded,not_recorded,TGTC saved run log 20260918T060210Z,No provider call
