company_name,occurrences,role_buckets,sources,evidence_available,proposed_domain,confidence,safe_to_add_automatically,notes
"Johnson & Johnson Services, Inc.",2,engineering;operations,Johnson & Johnson Careers,first_party_careers_host:careers.jnj.com,,manual_review_first_party_host,no,first-party careers host observed (careers.jnj.com) but acronym/brand mismatch - MANUAL verify before adding
Philip Morris International U.S.,1,marketing,Philip Morris International Careers,first_party_careers_host:join.pmicareers.com,,manual_review_first_party_host,no,first-party careers host observed (join.pmicareers.com) but acronym/brand mismatch - MANUAL verify before adding
HII's Mission Technologies division,1,engineering,HII Mission Technologies,first_party_careers_host:jobs.hii-tsd.com,,manual_review_first_party_host,no,first-party careers host observed (jobs.hii-tsd.com) but acronym/brand mismatch - MANUAL verify before adding
VTG,1,operations,VTG,first_party_careers_host:careers.vtgdefense.com,,manual_review_first_party_host,no,first-party careers host observed (careers.vtgdefense.com) but acronym/brand mismatch - MANUAL verify before adding
HP,1,customer_support,Careers At HP,first_party_careers_host:apply.hp.com,,manual_review_first_party_host,no,first-party careers host observed (apply.hp.com) but acronym/brand mismatch - MANUAL verify before adding
CFS,2,customer_support;finance,Monster,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Bright Vision Technologies,2,engineering;gtm_revenue,Built In;LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Cosmoquick,2,ecommerce;marketing,CosmoQuick,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Jobgether,2,customer_success;gtm_revenue,BeBee;Digitalhire,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
NVIDIA,2,engineering;gtm_revenue,LinkedIn;himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Cherry Bekaert,2,engineering;gtm_revenue,LinkedIn;himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
University of Pittsburgh,1,marketing,Women For Hire- Job Board,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
HiredBuddy,1,engineering,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"Innovative Refrigeration Systems, Inc.",1,marketing,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"American-Nurses-Association,-Inc",1,marketing,Digitalhire,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Community Options,1,people_hr,BeBee,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Center for Sleep and Wake Disorders,1,gtm_revenue,BeBee,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
META,1,engineering,AI Search,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
LVT,1,product,Startup Jobs,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
FIRSTLIGHT,1,engineering,JobTarget,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
GIBBON North America,1,marketing,Digitalhire,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Cocomint Inc.,1,marketing,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Paired,1,marketing,Jobgether,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
College of Coastal Georgia,1,marketing,HigherEdJobs,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"Serenity Info Tech, Inc.",1,engineering,Haystackapp.io,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Green Bay Packaging - Corporate,1,engineering,Women For Hire- Job Board,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
State of South Carolina,1,operations,GovernmentJobs.com,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Minnesota Department of Human Services,1,people_hr,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"Unique Industries, Inc.",1,people_hr,Indeed,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
4M Building Solutions,1,gtm_revenue,Monster,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
FMG,1,gtm_revenue,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Bjak,1,marketing,ZipRecruiter,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
HT Travels,1,customer_support,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
CARROLL INDEPENDENT FUEL COMPANY,1,customer_support,Paycom Paycomonline.net,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
MCI Careers,1,customer_support,MCI Job Openings,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY,1,engineering,USAJobs,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
GSA,1,engineering,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
DLA Information Operations J6,1,engineering,USAJobs,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
State of Washington,1,engineering,GovernmentJobs.com,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
VA Maine Healthcare System,1,finance,USAJobs,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
City of Annapolis (MD),1,finance,GovernmentJobs.com,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Dobbs Defense Solutions,1,finance,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
ACY Yachts,1,finance,BeBee,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
CC-NAF-W6BD20 IMCOM FMWR HQ,1,finance,USAJobs,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Commercial Express HVAC,1,finance,BeBee,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
job,1,operations,BeBee,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
SkillersZone LLC,1,operations,Career.com,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Covetrus North America LLC,1,engineering,Startup Jobs,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
POLITICO,1,marketing,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
NineTwoThree AI Studio,1,engineering,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Schneider Electric,1,customer_support,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Howard County Public School System,1,people_hr,Workday,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
SURVICE Engineering Company,1,engineering,SURVICE Engineering Company Jobs,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
CWILL,1,customer_success,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Amalie Oil Company,1,people_hr,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"PEG, LLC",1,people_hr,Recruit.net,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
RISE Network,1,customer_support,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Sam's Club,1,customer_support,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Philadelphia Insurance Companies,1,customer_support,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
IONOS,1,customer_success,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Baylor College of Medicine,1,gtm_revenue,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
CROSSMEDIA,1,engineering,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
INEOS,1,customer_success,LinkedIn,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Cox Communications,1,engineering,AI Search,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
9025 CVS Shared Services Resources LLC,1,gtm_revenue,ats_workday,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
NY_SPHP27 Samaritan Hospital,1,gtm_revenue,ats_workday,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
UM01 University of Maryland College Park (UMCP),1,gtm_revenue,ats_workday,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"4515 Industrial Metrology Solutions, LLC",1,gtm_revenue,ats_workday,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Phillips Corporation,1,gtm_revenue,ats_workable,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Lifelancer,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,intermediary/staffing - exclude
Mindrift,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,intermediary/staffing - exclude
Akamai Technologies,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
ServiceNow,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"Stride, Inc.",1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Syneos Health India Private Limited,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Crowdstrike,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Sedgwick,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Choice,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
TripleTen,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Bamboo Works,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Kintsugi AI,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Cotiviti,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Welo Global,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Trillium Health Resources,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Databricks,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
iCodde,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"Arrow Electronics, Inc.",1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
SAMC SitusAMC Holdings Corp,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Projector Creative&amp;Tech Online Institute,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
USA The Nature Conservancy,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Milliman,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Strada,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Nokia,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Blue Cross Blue Shield of Michigan,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
C10 Labs,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
ELVTR,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
The Ohio State University,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Flagstar Bank,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
The Church of Jesus Christ of Latter-day Saints,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
TheHiveCareers,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Granicus,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
