company,domain,company_employee_count,company_industry,icp_status,role_bucket,hiring_manager_buckets,relevant_job_title,job_url,job_source,num_relevant_jobs_at_company,num_distinct_functions_at_company,apollo_people_search_attempted,candidate_people_returned,title_matched_candidates,person_match_attempts,candidate_rejected_reason,hm_failure_reason,final_disposition,notes
"Ryan & Wetmore, PC",ryanandwetmore.com,45,accounting,PASS,finance,finance,Staff Accountant,https://www.linkedin.com/jobs/view/staff-accountant-at-ryan-wetmore-pc-4449128810,,5,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Evlo AI,evlo.ai,,information technology & services,NEEDS_CHECK,engineering,data,Business Data Analyst,https://www.linkedin.com/jobs/view/business-data-analyst-at-evlo-ai-4449740371,,4,2,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Evlo AI,evlo.ai,,information technology & services,NEEDS_CHECK,gtm_revenue,gtm_revenue,Revenue Operations Analyst,https://revpath.dealhub.io/jobs/580711012-revenue-operations-analyst,,4,2,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Kenect,kenect.com,240,information technology & services,PASS,customer_success,customer_success,Customer Retention Specialist,https://www.indeed.com/viewjob?jk=83a71ba7220e12ed,,2,1,True,3,2,1,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
Deerfield Group,deerfieldgroup.com,240,marketing & advertising,PASS,marketing,marketing,Email Marketing Specialist,https://www.linkedin.com/jobs/view/email-marketing-specialist-at-deerfield-group-4446638686,,2,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Tines,tines.com,620,information technology & services,PASS,people_hr,people_hr,People Operations Specialist,https://www.learn4good.com/jobs/worcester/massachusetts/hr_and_recruitment/5333113309/e/,,2,1,True,1,0,0,UNVERIFIED_OFFICIAL_SOURCE,no_title_match,UNVERIFIED,
Gray & Creech Office Solutions,gcoffice.solutions,36,information technology & services,PASS,gtm_revenue,gtm_revenue,Sales Development Representative,https://www.indeed.com/viewjob?jk=d74393cdcfe9087e,,2,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
American Wire Works,americanwireworks.com,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,Inside Sales Representative,https://www.linkedin.com/jobs/view/inside-sales-representative-at-american-wire-works-4448895115,,2,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Pennex,pennex.com,400,mining & metals,PASS,gtm_revenue,gtm_revenue,Inside Sales Representative,https://www.linkedin.com/jobs/view/inside-sales-representative-at-pennex-4450684624,,2,1,True,2,1,1,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
Sironik Tech Pvt. Ltd.,sironiktech.com,,,NEEDS_CHECK,product,product,UI/UX Designer,https://www.linkedin.com/jobs/view/ui-ux-designer-at-sironik-tech-pvt-ltd-4449138405,,2,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
